데이터플랫폼 공통지표,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
구분,순서,지표명,정의,계산식,데이터 출처,합의 필요사항,,,,
서비스,102,세션캠페인,GA 세션캠페인,2024 기념일 캠페인/ 2024 ACL 등,,,,,,
서비스,103,세션 수동 광고 콘텐츠,GA 세션 수동 광고 콘텐츠,기부금영수증 인쇄/ 로그인하기/ 전체메뉴보기 등,,,,,,
서비스,104,세션 수동 검색어,GA 세션 수동 검색어,,,,,,,
서비스,105,페이지경로+쿼리문자열,GA 페이지경로+쿼리문자열,,,,,,,
서비스,106,페이지위치,GA 페이지위치,https://m.goodneighbors.kr/campaign/turn25b,,,,,,
서비스,107,스크롤깊이,GA 스크롤깊이,,,,,,,
서비스,108,이탈율,GA 이탈율,,,,,,,
서비스,109,세션 소스/매체,GA 세션 소스/매체,,,,,,,
공통,110,회원번호,crm 회원번호,,,,,,,
공통,111,memnum,링크 내 회원번호,,,,,,,
공통,112,member id,GA 회원번호,,,,,,,
공통,113,신규기존구분,신규기존구분,"신규: 당해년도개발,  기존: 당해년도 이전 개발",,,,,,
공통,114,법인,"사단법인, 사회복지법인",,,,,,,
공통,115,본부/지부,본부/지부,,,,,,,
공통,116,부서,부서,"본부, 시도본부 및 지부",,,,,,
공통,117,공통브랜드,공통브랜드,,,,,,,
공통,118,홍보방법,홍보방법,,,,,,,
공통,119,공통상위캠페인,공통상위캠페인,,,,,,,
공통,120,캠페인,캠페인,,,,,,,
공통,121,개발구분,"신규,증액,재후원",,,,,,,
공통,122,결연아동코드,결연아동코드,"페이지 경로+쿼리 문자열""에서 파생. URL에서 chilenum= 뒤에 오는 13자리",,,,,,
,,,,예) https://gni.kr/url/25acl_25ABC.gn?memnum=1831636&childnum=CMR-0102-002758,,,,,,
,,,,결연아동코드 = CMR-0102-002758,,,,,,
공통,123,후원사업(후원사업전체),정기후원사업,,,,,,,
공통,124,후원사업(약칭),정기후원사업을 분야별 약칭한것,"국내(국내아동권리보호사업(사단법인),결식아동지원,아동학대예방,저소득가정지원) *법인이 사단인 경우, 국내(국내아동권리보호사업(사회복지법인), 국내사업) *법인이 사복인 경우, 결연(해외아동결연), 해외구호(희망학교지원사업,해외교육지원사업,보건의료지원사업,식수위생지원사업,재난구호지원사업,해외지역개발지원사업), 기타(대북지원사업,좋은이웃,전체사업지원) *법인이 사단인 경우, 기타(좋은이웃(사복)) *법인이 사복인 경우",,,,,,
