부서명,부서코드,부서 경로
충남북부지부(사복),D000054,국내(사복) > 충청권역본부(사복) > 충남북부지부(사복)
온주종합사회복지관(사복),E000047,국내(사복) > 충청권역본부(사복) > 충남북부지부(사복) > 온주종합사회복지관(사복)
온주푸른교실지역아동센터(사복),E000049,국내(사복) > 충청권역본부(사복) > 충남북부지부(사복) > 온주푸른교실지역아동센터(사복)
충남지부(사복),D000056,국내(사복) > 충청권역본부(사복) > 충남지부(사복)
충청남도아동보호전문기관(사복),E000051,국내(사복) > 충청권역본부(사복) > 충남지부(사복) > 충청남도아동보호전문기관(사복)
충남중부지부(사복),E001160,국내(사복) > 충청권역본부(사복) > 충남중부지부(사복)
충남중부아동보호전문기관(사복),F001011,국내(사복) > 충청권역본부(사복) > 충남중부지부(사복) > 충남중부아동보호전문기관(사복)
전북권역본부(사복),D001023,국내(사복) > 전북권역본부(사복)
전북동부지부(사복),D000058,국내(사복) > 전북권역본부(사복) > 전북동부지부(사복)
전북동부아동보호전문기관(사복),E000055,국내(사복) > 전북권역본부(사복) > 전북동부지부(사복) > 전북동부아동보호전문기관(사복)
전북서부지부(사복),D000059,국내(사복) > 전북권역본부(사복) > 전북서부지부(사복)
전북익산시아동보호전문기관(사복),E000057,국내(사복) > 전북권역본부(사복) > 전북서부지부(사복) > 전북익산시아동보호전문기관(사복)
전북중부지부(사복),E001161,국내(사복) > 전북권역본부(사복) > 전북중부지부(사복)
전북특별자치도자립지원전담기관(사복),E001127,국내(사복) > 전북권역본부(사복) > 전북중부지부(사복) > 전북특별자치도자립지원전담기관(사복)
전북전주1지부(사복),E001162,국내(사복) > 전북권역본부(사복) > 전북전주1지부(사복)
전주덕진아동보호전문기관(사복),F001012,국내(사복) > 전북권역본부(사복) > 전북전주1지부(사복) > 전주덕진아동보호전문기관(사복)
전북전주2지부(사복),E001163,국내(사복) > 전북권역본부(사복) > 전북전주2지부(사복)
전주완산아동보호전문기관(사복),F001047,국내(사복) > 전북권역본부(사복) > 전북전주2지부(사복) > 전주완산아동보호전문기관(사복)
전북남부지부(사복),E001164,국내(사복) > 전북권역본부(사복) > 전북남부지부(사복)
정읍시아동보호전문기관(사복),F001069,국내(사복) > 전북권역본부(사복) > 전북남부지부(사복) > 정읍시아동보호전문기관(사복)
광주전남권역본부(사복),D001061,국내(사복) > 광주전남권역본부(사복)
전남서부지부(사복),D000063,국내(사복) > 광주전남권역본부(사복) > 전남서부지부(사복)
전남서부권아동보호전문기관(사복),E000063,국내(사복) > 광주전남권역본부(사복) > 전남서부지부(사복) > 전남서부권아동보호전문기관(사복)
전남중부지부(사복),D000064,국내(사복) > 광주전남권역본부(사복) > 전남중부지부(사복)
전남중부권아동보호전문기관(사복),E000065,국내(사복) > 광주전남권역본부(사복) > 전남중부지부(사복) > 전남중부권아동보호전문기관(사복)
광주사회적약자통합지원센터(사복),D001040,국내(사복) > 광주전남권역본부(사복) > 광주사회적약자통합지원센터(사복)
광주좋은이웃지역아동센터(사복),E000060,국내(사복) > 광주전남권역본부(사복) > 광주사회적약자통합지원센터(사복) > 광주좋은이웃지역아동센터(사복)
전남북부지부(사복),E001021,국내(사복) > 광주전남권역본부(사복) > 전남북부지부(사복)
전남북부권아동보호전문기관(사복),F001010,국내(사복) > 광주전남권역본부(사복) > 전남북부지부(사복) > 전남북부권아동보호전문기관(사복)
영남권역본부(사복),F001032,국내(사복) > 영남권역본부(사복)
대구지부(사복),D000067,국내(사복) > 영남권역본부(사복) > 대구지부(사복)
하늘지역아동센터(사복),E000069,국내(사복) > 영남권역본부(사복) > 대구지부(사복) > 하늘지역아동센터(사복)
대구남부아동보호전문기관(사복),E000070,국내(사복) > 영남권역본부(사복) > 대구지부(사복) > 대구남부아동보호전문기관(사복)
달서좋은이웃지역아동센터(사복),E000071,국내(사복) > 영남권역본부(사복) > 대구지부(사복) > 달서좋은이웃지역아동센터(사복)
경북동부지부(사복),D000068,국내(사복) > 영남권역본부(사복) > 경북동부지부(사복)
경북동부아동보호전문기관(사복),E000072,국내(사복) > 영남권역본부(사복) > 경북동부지부(사복) > 경북동부아동보호전문기관(사복)
포항좋은이웃그룹홈(사복),E000073,국내(사복) > 영남권역본부(사복) > 경북동부지부(사복) > 포항좋은이웃그룹홈(사복)
해도좋은이웃지역아동센터(사복),E000074,국내(사복) > 영남권역본부(사복) > 경북동부지부(사복) > 해도좋은이웃지역아동센터(사복)
청림좋은이웃지역아동센터(사복),E000075,국내(사복) > 영남권역본부(사복) > 경북동부지부(사복) > 청림좋은이웃지역아동센터(사복)
울산지부(사복),D000072,국내(사복) > 영남권역본부(사복) > 울산지부(사복)
울산광역시가정위탁지원센터(사복),E000081,국내(사복) > 영남권역본부(사복) > 울산지부(사복) > 울산광역시가정위탁지원센터(사복)
경남지부(사복),E001081,국내(사복) > 영남권역본부(사복) > 경남지부(사복)
경상남도자립통합지원센터,F001018,국내(사복) > 영남권역본부(사복) > 경남지부(사복) > 경상남도자립통합지원센터
경상남도자립지원전담기관(사복),F001046,국내(사복) > 영남권역본부(사복) > 경남지부(사복) > 경상남도자립지원전담기관(사복)
경북서부지부(사복),E001103,국내(사복) > 영남권역본부(사복) > 경북서부지부(사복)
지역아동센터 경상북도지원단(사복),E000077,국내(사복) > 영남권역본부(사복) > 경북서부지부(사복) > 지역아동센터 경상북도지원단(사복)
구미좋은이웃지역아동센터(사복),E000078,국내(사복) > 영남권역본부(사복) > 경북서부지부(사복) > 구미좋은이웃지역아동센터(사복)
좋은마음센터경북서부(사복),F001062,국내(사복) > 영남권역본부(사복) > 경북서부지부(사복) > 좋은마음센터경북서부(사복)
휴직(사복),C001014,휴직(사복)
기타(사복),C001999,기타(사복)
확인용(사복),Z000134,기타(사복) > 확인용(사복)
재단법인 글로벌 임팩트,C000035,
재단법인 글로벌 임팩트(해외),C001006,재단법인 글로벌 임팩트(해외)
경영지원부,C001016,경영지원부
협동조합팀,C001017,협동조합팀
사회적기업팀,C001018,사회적기업팀
신사업개발팀,C001019,신사업개발팀
소셜비즈니스팀,C001020,소셜비즈니스팀
재단법인 굿네이버스 미래재단,E001032,
